"X.SampleID"	"subject"	"timepoint"	"shannon_alpha"	"sample_site"	"sex"	"ID_unique"	"shannon_avg"
"10370.15B12"	"Volunteer 5"	"5"	6.4725227691	"Armpit"	"male"	"Volunteer 5Armpit"	6.4725227691
"10370.19G3"	"Volunteer 5"	"7"	2.84416875055	"Armpit"	"male"	"Volunteer 5Armpit"	2.72299293123333
"10370.21B12"	"Volunteer 5"	"8"	3.10796863207	"Armpit"	"male"	"Volunteer 5Armpit"	2.75662214344
"10370.24D5"	"Volunteer 5"	"9"	1.94769232649	"Armpit"	"male"	"Volunteer 5Armpit"	1.60084298388
"10370.1G6"	"Volunteer 5"	"0"	3.82301627649	"Face"	"male"	"Volunteer 5Face"	4.4312983763175
"10370.3E4"	"Volunteer 5"	"1"	3.39336648951	"Face"	"male"	"Volunteer 5Face"	3.8953594616725
"10370.6B12"	"Volunteer 5"	"2"	4.21886423661	"Face"	"male"	"Volunteer 5Face"	4.02386688306
"10370.9A4"	"Volunteer 5"	"3"	3.41620850014	"Face"	"male"	"Volunteer 5Face"	3.41620850014
"10370.11F11"	"Volunteer 5"	"4"	3.61928872933	"Face"	"male"	"Volunteer 5Face"	4.38482527735
"10370.15B8"	"Volunteer 5"	"5"	4.09599283527	"Face"	"male"	"Volunteer 5Face"	4.09599283527
"10370.17B8"	"Volunteer 5"	"6"	3.67107109004	"Face"	"male"	"Volunteer 5Face"	3.9046477658
"10370.19F11"	"Volunteer 5"	"7"	3.75187302589	"Face"	"male"	"Volunteer 5Face"	3.89906115751333
"10370.21B8"	"Volunteer 5"	"8"	3.56990312869	"Face"	"male"	"Volunteer 5Face"	3.66899788173
"10370.24D1"	"Volunteer 5"	"9"	3.8530536205	"Face"	"male"	"Volunteer 5Face"	3.61342417014667
"10370.1H6"	"Volunteer 5"	"0"	4.89248385938	"Foot"	"male"	"Volunteer 5Foot"	4.3901193945525
"10370.3F5"	"Volunteer 5"	"1"	3.65329546311	"Foot"	"male"	"Volunteer 5Foot"	3.61844457077667
"10370.6C10"	"Volunteer 5"	"2"	2.06946807935	"Foot"	"male"	"Volunteer 5Foot"	2.06946807935
"10370.9B3"	"Volunteer 5"	"3"	2.57249572871	"Foot"	"male"	"Volunteer 5Foot"	3.0903355563125
"10370.11G11"	"Volunteer 5"	"4"	3.39356614134	"Foot"	"male"	"Volunteer 5Foot"	3.4962767494675
"10370.15C10"	"Volunteer 5"	"5"	4.95016806908	"Foot"	"male"	"Volunteer 5Foot"	5.88062879109
"10370.17C8"	"Volunteer 5"	"6"	6.71572503972	"Foot"	"male"	"Volunteer 5Foot"	7.47126825378
"10370.19G11"	"Volunteer 5"	"7"	5.13286461349	"Foot"	"male"	"Volunteer 5Foot"	5.0191955325125
"10370.21C8"	"Volunteer 5"	"8"	3.23315798694	"Foot"	"male"	"Volunteer 5Foot"	3.04995776076
"10370.24E1"	"Volunteer 5"	"9"	2.4510121251	"Foot"	"male"	"Volunteer 5Foot"	2.6208449812225
"10370.2A10"	"Volunteer 6"	"0"	2.72087855844	"Armpit"	"male"	"Volunteer 6Armpit"	2.3082695871325
"10370.3G2"	"Volunteer 6"	"1"	1.10678245395	"Armpit"	"male"	"Volunteer 6Armpit"	1.157765317645
"10370.7G5"	"Volunteer 6"	"2"	2.27538124295	"Armpit"	"male"	"Volunteer 6Armpit"	2.06394992843667
"10370.10A10"	"Volunteer 6"	"3"	1.72622364071	"Armpit"	"male"	"Volunteer 6Armpit"	1.855686827095
"10370.12A10"	"Volunteer 6"	"4"	5.94220469758	"Armpit"	"male"	"Volunteer 6Armpit"	5.81275207631
"10370.13D5"	"Volunteer 6"	"5"	5.37219048018	"Armpit"	"male"	"Volunteer 6Armpit"	5.42443907396
"10370.20A7"	"Volunteer 6"	"7"	3.37128559189	"Armpit"	"male"	"Volunteer 6Armpit"	3.3186905683475
"10370.22B12"	"Volunteer 6"	"8"	1.83221052582	"Armpit"	"male"	"Volunteer 6Armpit"	1.81866758339
"10370.22E10"	"Volunteer 6"	"9"	1.6840209858	"Armpit"	"male"	"Volunteer 6Armpit"	2.047575959505
"10370.2A6"	"Volunteer 6"	"0"	4.08726887885	"Face"	"male"	"Volunteer 6Face"	4.44505448410667
"10370.3F10"	"Volunteer 6"	"1"	4.47859940135	"Face"	"male"	"Volunteer 6Face"	4.4217293374675
